,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed
340,kjollefjord,20,NO,1551936000,62,23.0,70.95,27.35,16.11
341,solikamsk,76,RU,1551937607,77,17.02,59.65,56.78,18.14
342,nueva loja,24,EC,1551937540,92,72.77,0.08,-76.88,1.92
343,kupang,75,ID,1551934800,66,89.6,-10.16,123.6,5.82
344,hirara,75,JP,1551934800,72,62.6,24.8,125.28,14.99
345,riverton,90,US,1551937514,92,26.6,43.02,-108.38,8.05
346,yenagoa,44,NG,1551937609,92,76.24,4.92,6.26,5.95
347,ninghai,40,CN,1551937596,50,55.99,29.29,121.42,8.95
348,emerald,32,AU,1551937302,51,93.0,-23.53,148.16,11.41
349,khani,90,GE,1551936600,93,46.4,41.96,42.96,12.75
350,maryville,90,US,1551937254,71,32.0,40.35,-94.87,5.82
351,mongar,12,BT,1551937610,59,63.82,27.28,91.24,2.04
352,lahij,36,YE,1551937610,91,76.96,13.06,44.88,3.94
353,thinadhoo,92,MV,1551937610,100,81.73,0.53,72.93,5.17
354,marakkanam,20,IN,1551934800,62,87.8,12.2,79.95,3.36
355,corinto,36,BR,1551937611,90,68.09,-18.36,-44.46,3.38
356,sambava,8,MG,1551937428,100,77.32,-14.27,50.17,1.92
357,yumen,8,CN,1551937611,46,46.99,40.29,97.04,14.56
358,buala,48,SB,1551937611,94,83.26,-8.15,159.59,6.17
359,frisco,1,US,1551937550,73,50.0,33.15,-96.82,9.17
360,nome,90,US,1551937284,66,53.6,30.04,-94.42,4.7
361,vaijapur,0,IN,1551937612,32,84.88,19.92,74.72,5.84
362,quesnel,88,CA,1551937612,79,14.36,52.98,-122.49,2.37
363,martapura,20,ID,1551934800,66,87.8,-3.41,114.85,10.29
364,karonga,32,MW,1551937613,100,75.92,-9.94,33.93,9.19
365,mendi,24,ET,1551937613,31,71.51,9.8,35.1,3.15
366,yola,0,NG,1551937461,67,66.56,9.26,12.45,2.71
367,zaoyang,32,CN,1551937614,48,51.76,32.12,112.76,9.98
368,luwuk,64,ID,1551937614,74,86.68,-0.95,122.79,2.93
369,richards bay,8,ZA,1551937356,82,77.05,-28.77,32.06,10.54
370,ayna,90,ES,1551937511,81,42.8,38.55,-2.07,12.75
371,nara,75,JP,1551936806,71,51.8,34.68,135.8,12.75
372,labuhan,36,ID,1551937330,64,85.96,-2.54,115.51,4.05
373,bundu,20,IN,1551934800,33,71.6,23.16,85.59,3.36
374,gerash,0,IR,1551934800,50,57.2,27.67,54.14,4.7
375,eyl,48,SO,1551937615,91,78.13,7.98,49.82,10.65
376,ampanihy,80,MG,1551937380,74,77.86,-24.69,44.75,10.54
377,comodoro rivadavia,90,AR,1551934800,93,50.0,-45.87,-67.48,1.12
378,yaan,48,NG,1551937615,93,75.7,7.38,8.57,9.98
379,zabid,0,YE,1551937616,53,65.8,14.2,44.5,3.71
380,xiaoweizhai,92,CN,1551937616,100,43.16,26.23,107.51,4.94
381,isiro,92,CD,1551937616,98,66.79,2.77,27.62,2.82
382,longyearbyen,0,NO,1551936000,49,3.2,78.22,15.63,5.82
383,finnsnes,75,NO,1551936000,92,19.4,69.23,17.98,10.29
